MatchDate,TeamName
2026-09-26,Anaitasuna
2026-09-26,Sporting de Alcázar
2026-09-26,AE Prat
2026-09-26,CD San José
2026-09-26,Atlético Melilla
2026-09-26,CD Baztán
2026-09-26,CD Tedeón
2026-09-26,Atlético Unión Güímar
2026-09-26,Ceuta 6 de Junio
2026-09-26,Tavernes de la Valldigna
2026-09-26,SD Noja
2026-09-26,Ribadesella
2026-09-26,Atlético Calatayud
2026-09-26,UB Lebrijana
2026-09-26,Atlético Pinatarense
2026-09-26,Auriense Cented Academy
2026-09-26,CF San Rafael
2026-09-26,CP Talayuela
2026-09-26,Sporting Hortaleza
2026-09-26,Maracena
2026-10-03,UB Lebrijana
2026-10-03,CF San Rafael
2026-10-03,Atlético Pinatarense
2026-10-03,Sporting Hortaleza
2026-10-03,Atlético Calatayud
2026-10-03,Anaitasuna
2026-10-03,Ribadesella
2026-10-03,Auriense Cented Academy
2026-10-03,Tavernes de la Valldigna
2026-10-03,Sporting de Alcázar
2026-10-03,SD Noja
2026-10-03,Ceuta 6 de Junio
2026-10-03,CD Tedeón
2026-10-03,CD San José
2026-10-03,CD Baztán
2026-10-03,Atlético Unión Güímar
2026-10-03,Atlético Melilla
2026-10-03,AE Prat
2026-10-03,CP Talayuela
2026-10-03,Maracena
