Team,MatchesPlayed,Wins,Draws,Losses,Goals,GoalsAgainst,GoalsPerGame,xG,xGA,xGD,xGD_per90,Possession
Real Madrid,111,79,19,13,235,97,2.12,228.2,112.8,115.3,1.039,
Barcelona,111,84,12,15,272,114,2.45,225.4,116.6,108.8,0.98,
Ath Madrid,111,65,20,26,196,111,1.77,176.4,118.7,57.7,0.519,
Ath Bilbao,111,51,29,31,155,117,1.4,149.1,124.0,25.1,0.226,
Betis,111,43,42,26,159,138,1.43,158.7,142.0,16.7,0.151,
Vallecano,111,31,40,40,106,135,0.95,155.0,140.4,14.6,0.131,
Sociedad,111,40,30,41,140,140,1.26,140.7,134.2,6.5,0.059,
Celta,111,39,29,43,154,158,1.39,148.2,142.3,5.9,0.053,
Villarreal,111,55,27,29,201,156,1.81,157.2,160.6,-3.4,-0.031,
Alaves,111,31,32,48,115,148,1.04,129.9,135.5,-5.6,-0.05,
Elche,35,9,12,14,46,54,1.31,43.1,52.4,-9.3,-0.266,
Girona,111,45,26,40,166,158,1.5,146.6,157.2,-10.5,-0.095,
Sevilla,111,31,29,51,133,165,1.2,138.3,148.8,-10.5,-0.095,
Almeria,38,3,12,23,43,75,1.13,51.5,62.9,-11.5,-0.302,
Levante,35,9,9,17,41,57,1.17,40.9,55.5,-14.6,-0.416,
Cadiz,38,6,15,17,26,55,0.68,38.1,55.2,-17.0,-0.449,
Leganes,38,9,13,16,39,56,1.03,36.6,55.5,-18.9,-0.498,
Getafe,111,34,28,49,104,129,0.94,120.0,140.4,-20.5,-0.184,
Granada,38,4,9,25,38,79,1.0,40.9,63.9,-22.9,-0.604,
Las Palmas,76,18,18,40,73,108,0.96,82.5,105.7,-23.2,-0.306,
Oviedo,35,6,11,18,26,54,0.74,36.6,60.4,-23.9,-0.682,
Mallorca,111,31,34,46,111,140,1.0,123.4,148.8,-25.4,-0.229,
Valencia,111,35,32,44,122,149,1.1,113.2,143.5,-30.4,-0.274,
Valladolid,38,4,4,30,26,90,0.68,33.5,63.9,-30.4,-0.799,
Osasuna,111,35,34,42,135,153,1.22,122.4,155.3,-32.9,-0.296,
Espanol,73,21,18,34,78,104,1.07,76.9,116.6,-39.7,-0.544,
