Date,HomeTeam,WeatherDesc,TempMaxC,PrecipMM,WindKmh
2026-05-12,RC Celta de Vigo,N/A,,,
2026-05-12,Real Betis Balompié,N/A,,,
2026-05-12,CA Osasuna,N/A,,,
2026-05-13,RCD Espanyol de Barcelona,N/A,,,
2026-05-13,Villarreal CF,Partly cloudy,23.6,0.0,17.3
2026-05-13,Deportivo Alavés,N/A,,,
2026-05-13,Getafe CF,Showers,18.3,1.4,13.0
2026-05-14,Valencia CF,Partly cloudy,25.6,0.0,21.0
2026-05-14,Girona FC,Thunderstorm,15.9,14.8,17.9
2026-05-14,Real Madrid CF,N/A,,,
2026-05-17,Athletic Club,N/A,,,
2026-05-17,Club Atlético de Madrid,N/A,,,
2026-05-17,FC Barcelona,N/A,,,
2026-05-17,Elche CF,N/A,,,
2026-05-17,Levante UD,N/A,,,
2026-05-17,Rayo Vallecano de Madrid,Partly cloudy,21.0,0.0,7.4
2026-05-17,Real Sociedad de Fútbol,N/A,,,
2026-05-17,Real Oviedo,N/A,,,
2026-05-17,CA Osasuna,N/A,,,
2026-05-17,Sevilla FC,Foggy,26.1,0.0,12.2
2026-05-23,Villarreal CF,Rainy,26.8,0.3,14.5
