Date,Time,Matchday,HomeTeam,AwayTeam,Status
2026-05-08,03:00 PM ET,35,Levante UD,CA Osasuna,TIMED
2026-05-09,08:00 AM ET,35,Elche CF,Deportivo Alavés,TIMED
2026-05-09,10:15 AM ET,35,Sevilla FC,RCD Espanyol de Barcelona,TIMED
2026-05-09,12:30 PM ET,35,Club Atlético de Madrid,RC Celta de Vigo,TIMED
2026-05-09,03:00 PM ET,35,Real Sociedad de Fútbol,Real Betis Balompié,TIMED
2026-05-10,08:00 AM ET,35,RCD Mallorca,Villarreal CF,TIMED
2026-05-10,10:15 AM ET,35,Athletic Club,Valencia CF,TIMED
2026-05-10,12:30 PM ET,35,Real Oviedo,Getafe CF,TIMED
2026-05-10,03:00 PM ET,35,FC Barcelona,Real Madrid CF,TIMED
2026-05-11,03:00 PM ET,35,Rayo Vallecano de Madrid,Girona FC,TIMED
2026-05-12,01:00 PM ET,36,RC Celta de Vigo,Levante UD,TIMED
2026-05-12,02:00 PM ET,36,Real Betis Balompié,Elche CF,TIMED
2026-05-12,03:30 PM ET,36,CA Osasuna,Club Atlético de Madrid,TIMED
2026-05-13,01:00 PM ET,36,RCD Espanyol de Barcelona,Athletic Club,TIMED
2026-05-13,01:00 PM ET,36,Villarreal CF,Sevilla FC,TIMED
2026-05-13,03:30 PM ET,36,Deportivo Alavés,FC Barcelona,TIMED
2026-05-13,03:30 PM ET,36,Getafe CF,RCD Mallorca,TIMED
2026-05-14,01:00 PM ET,36,Valencia CF,Rayo Vallecano de Madrid,TIMED
2026-05-14,02:00 PM ET,36,Girona FC,Real Sociedad de Fútbol,TIMED
2026-05-14,03:30 PM ET,36,Real Madrid CF,Real Oviedo,TIMED
2026-05-23,08:00 PM ET,38,Deportivo Alavés,Rayo Vallecano de Madrid,SCHEDULED
2026-05-23,08:00 PM ET,38,Real Betis Balompié,Levante UD,SCHEDULED
2026-05-23,08:00 PM ET,38,RC Celta de Vigo,Sevilla FC,SCHEDULED
2026-05-23,08:00 PM ET,38,RCD Espanyol de Barcelona,Real Sociedad de Fútbol,SCHEDULED
2026-05-23,08:00 PM ET,38,Getafe CF,CA Osasuna,SCHEDULED
2026-05-23,08:00 PM ET,38,RCD Mallorca,Real Oviedo,SCHEDULED
2026-05-23,08:00 PM ET,38,Real Madrid CF,Athletic Club,SCHEDULED
2026-05-23,08:00 PM ET,38,Villarreal CF,Club Atlético de Madrid,SCHEDULED
2026-05-23,08:00 PM ET,38,Valencia CF,FC Barcelona,SCHEDULED
2026-05-23,08:00 PM ET,38,Girona FC,Elche CF,SCHEDULED
